credit_history,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
existing paid,1680.0,500<=X<1000,7,3.0,none,1,real estate,35,none,own,1,skilled,1,none,yes,1
critical/other existing credit,3578.0,no known savings,7,4.0,none,1,real estate,47,none,own,1,skilled,1,yes,yes,1
existing paid,7174.0,no known savings,5,4.0,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,2132.0,no known savings,0,2.0,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,1
critical/other existing credit,4281.0,500<=X<1000,2,1.0,none,4,car,23,none,own,2,skilled,1,none,yes,0
critical/other existing credit,2366.0,500<=X<1000,5,3.0,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1835.0,<100,2,3.0,none,2,real estate,25,none,own,2,skilled,1,yes,yes,0
critical/other existing credit,3868.0,<100,7,4.0,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1768.0,<100,2,3.0,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,1
critical/other existing credit,781.0,<100,7,4.0,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,1
existing paid,1924.0,no known savings,0,4.0,none,3,real estate,27,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,2121.0,<100,2,4.0,none,2,life insurance,30,none,own,2,skilled,1,none,yes,1
existing paid,701.0,<100,2,4.0,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,1
existing paid,639.0,<100,2,4.0,none,2,car,30,none,own,1,skilled,1,none,yes,0
critical/other existing credit,1860.0,<100,0,4.0,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,3499.0,<100,2,3.0,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,0
existing paid,8487.0,no known savings,5,1.0,none,2,car,24,none,own,1,skilled,1,none,yes,1
delayed previously,6887.0,<100,2,4.0,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,0
existing paid,2708.0,<100,0,2.0,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,1
existing paid,1984.0,<100,2,4.0,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,1
existing paid,10144.0,100<=X<500,5,2.0,none,4,real estate,21,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,1240.0,no known savings,7,4.0,none,2,real estate,38,none,own,2,skilled,1,yes,yes,1
delayed previously,8613.0,>=1000,2,2.0,none,2,car,27,none,own,2,skilled,1,none,yes,1
existing paid,766.0,500<=X<1000,2,4.0,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,0
critical/other existing credit,2728.0,no known savings,5,4.0,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,1
existing paid,1881.0,<100,2,2.0,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,1
existing paid,709.0,>=1000,0,2.0,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,1
existing paid,4795.0,<100,0,4.0,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,3416.0,<100,2,3.0,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,1
existing paid,2462.0,<100,2,2.0,none,2,car,22,none,own,1,skilled,1,none,yes,0
critical/other existing credit,2288.0,<100,0,4.0,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,1
all paid,3566.0,100<=X<500,5,4.0,none,2,car,30,none,own,1,skilled,1,none,yes,1
critical/other existing credit,860.0,<100,7,1.0,none,4,no known property,39,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,682.0,100<=X<500,5,4.0,none,3,car,51,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,5371.0,<100,2,3.0,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,1
critical/other existing credit,1582.0,>=1000,7,4.0,none,4,car,46,none,own,2,skilled,1,none,yes,1
existing paid,1346.0,100<=X<500,7,2.0,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,1
existing paid,1924.0,<100,2,1.0,none,4,life insurance,38,none,own,1,skilled,1,yes,no,1
existing paid,5848.0,<100,2,4.0,none,1,car,24,none,own,1,skilled,1,none,yes,1
critical/other existing credit,7758.0,>=1000,7,2.0,none,4,no known property,29,none,rent,1,skilled,1,none,yes,1
delayed previously,6967.0,100<=X<500,5,4.0,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1282.0,<100,2,2.0,none,4,car,20,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,1288.0,100<=X<500,7,3.0,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,1
all paid,339.0,<100,7,4.0,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,1
existing paid,3512.0,100<=X<500,5,2.0,none,3,car,38,bank,own,2,skilled,1,yes,yes,1
critical/other existing credit,1898.0,no known savings,2,1.0,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,1
critical/other existing credit,2872.0,100<=X<500,7,3.0,none,4,real estate,36,none,own,1,skilled,2,yes,yes,1
critical/other existing credit,1055.0,<100,0,4.0,none,1,life insurance,30,none,own,2,skilled,1,none,yes,1
existing paid,1262.0,500<=X<1000,5,4.0,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,1
existing paid,7308.0,<100,0,2.0,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,909.0,500<=X<1000,7,4.0,none,4,life insurance,36,none,own,1,skilled,1,none,yes,1
existing paid,2978.0,500<=X<1000,2,1.0,none,2,car,32,none,own,1,skilled,1,yes,yes,1
existing paid,1131.0,<100,0,4.0,none,2,car,33,none,own,1,skilled,1,none,yes,0
existing paid,1577.0,>=1000,0,4.0,none,1,real estate,20,none,own,1,skilled,1,none,yes,1
existing paid,3972.0,<100,5,2.0,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,1
critical/other existing credit,1935.0,<100,7,4.0,none,4,real estate,31,none,own,2,skilled,1,yes,yes,0
no credits/all paid,950.0,<100,7,4.0,none,3,car,33,none,rent,2,skilled,2,none,yes,0
existing paid,763.0,<100,2,4.0,none,1,real estate,26,none,own,1,skilled,1,yes,yes,1
delayed previously,2064.0,<100,0,3.0,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,1414.0,<100,2,4.0,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,1
delayed previously,3414.0,<100,0,2.0,none,1,life insurance,26,none,own,2,skilled,1,none,yes,0
all paid,7485.0,no known savings,0,4.0,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,2577.0,<100,2,2.0,none,1,car,42,none,own,1,skilled,1,none,yes,1
critical/other existing credit,338.0,500<=X<1000,7,4.0,none,4,car,52,none,own,2,skilled,1,none,yes,1
existing paid,1963.0,<100,5,4.0,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,571.0,<100,7,4.0,none,4,real estate,65,none,own,2,skilled,1,none,yes,1
delayed previously,9572.0,<100,0,1.0,none,1,car,28,none,own,2,skilled,1,none,yes,0
delayed previously,4455.0,<100,2,2.0,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,0
all paid,1647.0,no known savings,2,4.0,none,2,life insurance,40,none,own,2,unskilled resident,2,none,yes,0
critical/other existing credit,3777.0,>=1000,2,4.0,none,4,real estate,50,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,884.0,<100,7,4.0,none,4,car,36,bank,own,1,skilled,2,yes,yes,0
critical/other existing credit,1360.0,<100,2,4.0,none,2,life insurance,31,none,own,2,skilled,1,none,yes,1
all paid,5129.0,<100,7,2.0,none,4,no known property,74,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,0
critical/other existing credit,1175.0,<100,0,2.0,none,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,yes,1
existing paid,674.0,100<=X<500,5,4.0,none,1,life insurance,20,none,own,1,skilled,1,none,yes,0
no credits/all paid,3244.0,<100,2,1.0,none,4,car,33,bank,own,2,skilled,1,yes,yes,1
existing paid,4591.0,>=1000,2,2.0,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,yes,yes,0
no credits/all paid,3844.0,100<=X<500,5,4.0,none,4,no known property,34,none,for free,1,unskilled resident,2,none,yes,0
existing paid,3915.0,<100,2,4.0,none,2,car,36,none,own,1,skilled,2,yes,yes,0
existing paid,2108.0,<100,5,2.0,none,2,real estate,29,none,rent,1,skilled,1,none,yes,1
existing paid,3031.0,100<=X<500,2,4.0,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,1501.0,<100,7,2.0,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1382.0,<100,2,1.0,none,1,car,28,none,own,2,skilled,1,yes,yes,1
existing paid,951.0,100<=X<500,0,4.0,none,4,car,27,bank,rent,4,skilled,1,none,yes,0
existing paid,2760.0,no known savings,7,4.0,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,1
delayed previously,4297.0,<100,7,4.0,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,936.0,500<=X<1000,7,4.0,none,2,car,52,none,own,2,skilled,1,yes,yes,1
existing paid,1168.0,<100,2,4.0,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,1
delayed previously,5117.0,<100,5,3.0,none,4,car,26,none,own,2,skilled,1,none,yes,1
existing paid,902.0,<100,5,4.0,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,1495.0,<100,7,4.0,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,1
critical/other existing credit,10623.0,<100,7,3.0,none,4,no known property,38,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,1935.0,<100,7,4.0,none,4,real estate,43,none,own,3,skilled,1,yes,yes,1
critical/other existing credit,1424.0,<100,5,4.0,none,3,life insurance,26,none,own,1,skilled,1,none,yes,1
existing paid,6568.0,<100,2,2.0,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,1
existing paid,1413.0,>=1000,5,3.0,none,2,life insurance,55,none,own,1,skilled,1,none,no,1
critical/other existing credit,3074.0,no known savings,2,1.0,none,2,real estate,33,none,own,2,skilled,2,none,yes,1
existing paid,3835.0,no known savings,7,2.0,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,1
no credits/all paid,5293.0,<100,0,2.0,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,0
delayed previously,1908.0,<100,7,4.0,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,3342.0,no known savings,7,4.0,none,2,car,51,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,932.0,no known savings,5,1.0,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes,1
no credits/all paid,3104.0,<100,5,3.0,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,1
existing paid,3913.0,<100,2,2.0,none,2,real estate,23,none,own,1,skilled,1,yes,yes,1
existing paid,3021.0,<100,2,2.0,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,1
existing paid,1364.0,<100,2,2.0,none,4,car,64,none,own,1,skilled,1,yes,yes,1
existing paid,625.0,<100,0,4.0,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,1
existing paid,1200.0,no known savings,2,4.0,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,1
existing paid,707.0,<100,2,4.0,none,2,real estate,30,bank,own,2,skilled,1,none,yes,1
delayed previously,2978.0,no known savings,2,4.0,none,4,real estate,32,none,own,2,skilled,2,yes,yes,1
existing paid,4657.0,<100,2,3.0,none,2,car,30,none,own,1,skilled,1,yes,yes,1
no credits/all paid,2613.0,<100,2,4.0,none,2,car,27,none,own,2,skilled,1,none,yes,1
existing paid,10961.0,>=1000,5,1.0,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes,0
existing paid,7865.0,<100,7,4.0,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,1478.0,<100,5,4.0,none,2,car,22,none,own,1,skilled,1,none,yes,0
existing paid,3149.0,<100,0,4.0,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,1
existing paid,4210.0,<100,2,4.0,none,2,car,26,none,own,1,skilled,1,none,yes,0
existing paid,2507.0,500<=X<1000,7,2.0,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes,1
existing paid,2141.0,100<=X<500,5,3.0,none,1,no known property,35,none,own,1,skilled,1,none,yes,1
existing paid,866.0,<100,2,4.0,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,1544.0,<100,5,2.0,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,1
existing paid,1823.0,<100,0,4.0,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes,0
existing paid,14555.0,no known savings,0,1.0,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes,0
existing paid,2767.0,100<=X<500,7,4.0,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,0
critical/other existing credit,1291.0,<100,2,4.0,none,2,life insurance,35,none,own,2,skilled,1,none,yes,1
existing paid,2522.0,<100,7,1.0,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,1
existing paid,915.0,no known savings,7,4.0,none,2,car,29,bank,own,1,skilled,1,none,yes,0
existing paid,1595.0,<100,5,3.0,none,2,life insurance,51,none,own,1,skilled,2,none,yes,1
no credits/all paid,4605.0,<100,7,3.0,none,4,no known property,24,none,for free,2,skilled,2,none,yes,0
critical/other existing credit,1185.0,<100,2,3.0,none,2,real estate,27,none,own,2,skilled,1,none,yes,1
all paid,3447.0,500<=X<1000,2,4.0,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,1
existing paid,1258.0,<100,5,4.0,none,1,real estate,25,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,717.0,<100,7,4.0,none,4,real estate,52,none,own,3,skilled,1,none,yes,1
no credits/all paid,1204.0,100<=X<500,2,4.0,none,1,no known property,35,bank,rent,1,skilled,1,none,no,1
existing paid,1925.0,<100,2,2.0,none,2,real estate,26,none,own,1,skilled,1,none,yes,1
existing paid,433.0,<100,0,3.0,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,666.0,>=1000,5,3.0,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,1
existing paid,2251.0,<100,2,1.0,none,2,car,46,none,own,1,unskilled resident,1,none,yes,1
existing paid,2150.0,<100,2,4.0,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,0
delayed previously,4151.0,100<=X<500,2,2.0,none,3,life insurance,35,none,own,2,skilled,1,none,yes,1
existing paid,2030.0,no known savings,5,2.0,none,1,car,24,none,own,1,skilled,1,yes,yes,1
delayed previously,7418.0,no known savings,2,1.0,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,2684.0,<100,2,4.0,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,1
all paid,2149.0,<100,2,4.0,none,1,no known property,29,none,for free,1,skilled,1,none,yes,0
